,segment,计数
3525,简书,733
655,交友,658
2813,树洞,303
205,一个,190
1867,少年,158
1271,同学,149
2164,怦然心动,144
1365,喜欢,119
2733,未来,109
4231,遇见,91
2192,情书,80
939,写给,78
2709,朋友,73
246,一封信,63
468,专题,59
3277,男朋友,54
2924,求脱,53
783,你好,52
299,一起,50
1663,姑娘,48
3107,点名,47
2052,征文,47
318,七夕,47
2461,故事,44
2991,活动,43
1941,希望,42
3728,联合,41
778,作战,40
3101,灵魂,40
2707,有趣,39
3756,脱单,37
2962,没有,35
3410,知道,34
1604,女朋友,34
3149,爱情,33
1516,大学,32
3365,相遇,32
360,上海,29
3966,认识,29
2300,我该,29
79,90,27
3251,生活,27
245,一封,25
3537,简友,25
2298,我要,24
199,一下,24
114,Her,24
1600,女孩,24
3269,男友,23
1656,妹子,23
45,2018,23
685,人生,23
1797,寻找,22
4374,陌生人,22
772,余生,21
4230,遇到,21
929,写作,21
444,不要,20
698,介绍,20
128,Matchmaker,20
2497,文艺,19
378,不会,19
3432,礼物,19
2255,愿意,19
1126,单身,18
3677,美好,18
472,世界,18
2489,文字,18
1788,对话,18
669,亲爱,18
2266,成为,17
2342,找到,17
2715,期待,16
1349,哥哥,16
231,一场,16
2587,时间,16
467,专访,16
265,一枚,16
3527,简书人,16
3770,自我介绍,15
2377,招募,15
2174,恋爱,15
1696,孤独,15
2194,情人节,15
1312,听说,14
435,不知,14
657,交换,14
1325,周刊,14
1245,可能,14
3472,程序员,14
1657,妹纸,13
3278,男生,13
2291,我来,13
1438,坐标,13
1823,小姐姐,13
936,写日记,13
3535,简单,13
226,一只,13
2928,汉子,13
581,书上,13
1268,同城,12
733,优秀,12
1707,学院,12
1599,女子,12
2578,时光,12
4210,选择,12
2356,投稿,12
2665,最美,11
4109,路上,11
4461,须知,11
2660,最好,11
3491,笔友,11
1243,可爱,11
1608,女生,11
28,14,11
1408,图书馆,11
1866,少女,11
3453,离开,11
683,人气,11
4415,需要,11
3346,相亲,11
3808,艳遇,11
117,Him,11
3387,真的,10
849,先生,10
3139,爱丽丝,10
1016,初恋,10
1195,发现,10
217,一位,10
1001,分手,10
4350,阳光,10
2678,有人,10
3598,线下,10
4338,问答,10
2396,指教,10
1074,北京,10
1012,创作,10
2815,校园,10
4426,青春,10
3637,继续,10
3501,第一次,10
694,今天,10
279,一直,10
1535,大赛,10
2496,文章,9
1509,大叔,9
410,不想,9
2245,感情,9
2120,心里,9
3814,艾特,9
1910,工作,9
2249,感谢,9
1100,十里,9
442,不能,9
1030,到底,9
1802,封信,9
3951,觉得,9
2205,情诗,9
806,信息,9
4175,远方,9
4186,迷茫,9
1596,女友,9
2619,是否,9
1323,告诉,9
3623,结婚,9
1573,太阳,9
4125,身高,9
651,交个,9
2615,春风,9
1628,好看,9
3274,男孩,9
1270,同城群,9
383,不到,8
1283,名字,8
278,一生,8
3967,认识一下,8
2898,毕业,8
57,30,8
450,不负,8
1140,南方,8
3556,粉丝,8
3777,自由,8
241,一定,8
43,2017,8
908,其实,8
1168,原来,8
2225,想要,8
3059,温暖,8
3746,胶囊,8
41,20,8
2129,志同道合,8
2339,找个,8
4149,过来,8
1789,对象,8
3364,相逢,8
3913,表白,8
1956,平凡,8
1609,女神,8
281,一种,8
3369,看到,8
1385,回信,7
1062,努力,7
3548,管理,7
2525,旅行,7
4142,辩论,7
1426,地方,7
3054,清风,7
3349,相信,7
2935,江南,7
3674,美丽,7
4373,陌生,7
2653,曾经,7
1899,岁月,7
3517,等待,7
1040,前男友,7
3265,男人,7
4164,这是,7
1066,勇敢,7
491,两年,7
1101,千万,7
526,主编,7
2051,征婚,7
4425,青年,7
2421,推荐,7
3155,爱笑,7
780,作者,7
1731,安静,7
3221,现在,7
4028,读书,7
2592,明信片,7
2851,模样,7
4371,陌上,6
2702,有缘,6
2685,有幸,6
529,久别重逢,6
2383,拥有,6
51,24,6
1594,女人,6
946,农大,6
4482,风尘,6
3437,社群,6
129,Mr,6
3373,看看,6
2917,永远,6
3750,能量,6
3060,温柔,6
3070,湖南,6
1969,年度,6
963,准备,6
1322,告白,6
1890,山东,6
24,11,6
658,交朋友,6
21,100,6
656,交往,6
4041,谈恋爱,6
4369,陈时航,6
2143,快乐,6
2167,总是,6
2206,情话,6
4507,首页,6
415,不敢,6
229,一名,6
2727,未央,6
3331,皮囊,6
2819,样子,6
3471,程序,6
4282,重新认识,6
1997,应该,6
706,仙女,6
70,520,6
2651,更好,6
2414,接受,6
746,伴侣,6
3963,认真,6
3120,热爱,6
3170,特别,6
716,以后,6
4397,难过,6
719,以文会友,6
2209,惊喜,6
3941,见字,6
2645,暗恋,6
4007,该不该,5
3424,硕士,5
2855,欢迎,5
2243,感恩,5
2875,此生,5
1857,小说,5
