,segment,计数
19510,喜欢,9535
2574,一个,9314
41918,没有,4949
48850,知道,3571
3530,一起,3481
50805,简书,2948
46592,生活,2787
27192,希望,2735
57188,觉得,2636
38347,朋友,2621
46137,现在,2365
28984,很多,2363
4634,不会,2069
35718,文章,1981
3342,一直,1926
48521,真的,1697
36888,时间,1606
17484,可能,1567
48268,看到,1539
12231,其实,1505
35200,故事,1452
35642,文字,1448
26817,工作,1440
31077,感觉,1368
2901,一定,1326
27022,已经,1290
7464,事情,1283
31458,我会,1264
21945,大学,1231
5641,世界,1229
61683,遇见,1222
45456,特别,1189
45109,爱情,1166
5343,不要,1155
12563,写作,1151
5761,东西,1122
20548,地方,1103
3200,一次,1096
57449,认识,1082
18178,后来,1062
14763,努力,1060
2539,一下,1051
38580,未来,1033
57532,记得,1025
37837,最后,1024
8073,交友,1003
61679,遇到,1000
41036,比较,979
9092,以后,972
64592,需要,964
5291,不能,963
53048,老师,946
16708,发现,938
2876,一天,935
40902,每天,928
30238,总是,921
8557,人生,909
3266,一点,905
18636,告诉,873
27907,应该,873
31303,成为,865
52661,美好,862
3369,一种,861
24263,学习,858
6757,之后,843
36140,旅行,838
48016,相信,833
30881,想要,829
38011,有人,816
7135,也许,799
38218,有点,795
59205,起来,788
32804,投稿,784
29628,心里,778
5611,专题,775
24338,学校,773
20896,城市,773
28150,开心,773
5831,两个,773
31116,愿意,766
6743,之前,766
12132,关注,759
63426,问题,749
51973,经历,744
50871,简友,735
17932,同学,727
2788,一句,717
4984,不想,713
42526,活动,711
11058,偶尔,711
59774,身边,711
10139,作者,707
46835,电影,702
37796,曾经,698
45082,爱好,696
24385,孩子,692
20784,坚持,686
44848,照片,683
62011,那种,678
53941,能够,674
54110,脱单,661
8106,交流,652
30134,性格,649
48372,看着,646
50867,简单,645
8730,今天,627
23785,姑娘,626
38173,有时候,613
50494,第一次,612
13593,分享,612
39700,树洞,611
39771,样子,607
23268,好像,604
12389,内心,602
38305,有趣,600
37846,最好,597
61408,选择,596
38457,期待,586
40929,每次,585
48250,看书,585
31180,慢慢,578
28698,当时,576
58206,读书,575
31892,或许,574
40870,每个,573
40327,欢迎,572
23179,女生,568
41051,毕业,568
16397,参加,561
18053,名字,561
39979,梦想,559
32660,找到,556
31049,感情,554
41065,毕竟,550
37213,是不是,544
63662,阳光,539
13498,出现,537
48369,看看,536
62570,重要,536
60822,这种,534
4848,不好,530
51978,经常,525
36781,时光,523
27688,幸福,519
59780,身高,519
24227,孤独,518
36580,日子,513
23147,女孩,512
24348,学生,511
37940,最近,510
7378,了解,507
59543,路上,505
3400,一篇,504
4748,不同,503
43600,温暖,502
17459,可爱,499
2967,一年,493
45223,父母,491
9356,优秀,491
13142,几个,489
4692,不到,478
50113,突然,477
9089,以前,476
60328,过去,473
30304,恋爱,472
48158,相遇,471
32160,手机,470
37315,晚上,470
64847,非常,467
8765,介绍,465
22080,大概,463
30561,情书,463
46964,男生,460
16937,变得,458
23330,好好,458
49548,离开,456
29245,微信,455
63592,阅读,454
60774,这是,453
57412,认为,449
57435,认真,447
26061,小说,447
31029,感受,446
26556,属于,445
17260,只能,442
64688,青春,441
44364,灵魂,438
47886,目前,438
37219,是因为,437
5554,专业,433
2670,一件,431
24564,安静,430
29831,快乐,428
41437,永远,428
40488,正在,427
31083,感谢,426
34557,摄影,425
27636,年龄,424
44461,点击,422
3295,一生,414
58115,说话,412
19093,哥哥,411
13002,准备,409
37685,更好,407
53444,聊天,406
46531,生命,406
15715,单身,404
29457,心情,403
